9112dr,0.0004521989675457201
CX-9Grand,0.00045019808715834967
RangerSuperCab,0.00044019368522149745
RidgelineRTL,0.00044019368522149745
FX35AWD,0.00043819280483412703
GTI4dr,0.00043419104405938613
Quest4dr,0.0004321901636720157
Tundra2WD,0.0004281884028972748
F-250XL,0.00042618752250990434
CompassLimited,0.000420184881347793
Navigator2WD,0.0004181840009604226
G64dr,0.0004161831205730521
Legacy,0.0004161831205730521
Patriot4WD,0.0004161831205730521
CX-9FWD,0.0004121813597983113
GTI2dr,0.0004121813597983113
FitSport,0.0004101804794109408
A64dr,0.0004041778382488295
Sequoia4WD,0.0004041778382488295
SL-ClassSL500,0.00040217695786145906
PilotSE,0.0004001760774740886
OdysseyLX,0.00039817519708671816
SiennaLimited,0.0003961743166993477
Avalanche2WD,0.00039017167553723637
STS4dr,0.0003861699147624955
F-350XLT,0.00038416903437512505
Compass4WD,0.0003821681539877546
XF4dr,0.0003821681539877546
CX-7FWD,0.00037816639321301373
Ranger4WD,0.00037816639321301373
Tundra4WD,0.00037416463243827283
Model,0.00037416463243827283
Regal4dr,0.0003721637520509024
F-150Limited,0.0003721637520509024
XC60AWD,0.00037016287166353193
Lancer4dr,0.0003681619912761615
TaurusSE,0.0003641602305014206
PriusFive,0.0003621593501140502
Matrix5dr,0.000352154948177198
Explorer4dr,0.0003501540677898275
Navigator,0.0003481531874024571
F-150King,0.0003481531874024571
MustangShelby,0.00034615230701508665
VeracruzFWD,0.0003441514266277162
SiennaSE,0.00034215054624034576
Frontier,0.00034014966585297534
Passat,0.00034014966585297534
Suburban4dr,0.00033814878546560486
CamryBase,0.0003301452639161231
Legacy3.6R,0.00032414262275401174
Q7quattro,0.0003201408619792709
WranglerX,0.0003181399815919004
CTS-V,0.00031613910120453
PacificaLimited,0.0003141382208171595
Eos2dr,0.0003081355796550482
Cobalt4dr,0.0003081355796550482
XJ4dr,0.0003041338188803073
Highlander,0.0003021329384929369
300Base,0.000298131177718196
TSXAutomatic,0.000298131177718196
FocusST,0.00029613029733082557
LX,0.00029012765616871425
RAV44dr,0.00028812677578134377
SportageSX,0.00028612589539397335
F-350XL,0.00028612589539397335
Escalade2WD,0.00028412501500660293
FocusSEL,0.00028212413461923245
TLAutomatic,0.00028212413461923245
1500Tradesman,0.00028212413461923245
Xterra4dr,0.00028012325423186203
EnclaveConvenience,0.00027812237384449156
Milan4dr,0.00027812237384449156
SequoiaSR5,0.00027211973268238024
Land,0.00026811797190763934
Accent4dr,0.0002661170915202689
Azera4dr,0.000262115330745528
QX562WD,0.0002601144503581576
Outlander4WD,0.0002601144503581576
WRXBase,0.0002561126895834167
Escalade4dr,0.00024410740725919403
Xterra2WD,0.00024410740725919403
SequoiaLimited,0.00024010564648445316
AccordLX-S,0.00024010564648445316
Sedona4dr,0.0002381047660970827
LibertyLimited,0.0002381047660970827
Durango4dr,0.0002381047660970827
4Runner2WD,0.00023610388570971226
FocusS,0.00023610388570971226
"Excursion137""",0.00023610388570971226
XC90FWD,0.00023410300532234184
Touareg4dr,0.0002321021249349714
SC,0.00023010124454760094
Outlander2WD,0.00023010124454760094
XC60FWD,0.00023010124454760094
Sequoia4dr,0.0002281003641602305
RAV4,0.0002281003641602305
ForteSX,0.00022409860338548962
xD5dr,0.00022209772299811918
PatriotLimited,0.00022009684261074873
S804dr,0.00021809596222337828
F-250King,0.00021609508183600786
F-150FX2,0.0002140942014486374
Canyon4WD,0.0002140942014486374
C-ClassC350,0.00021209332106126696
LaCrosseAWD,0.0002100924406738965
FlexSE,0.0002100924406738965
Element4WD,0.0002100924406738965
Eclipse3dr,0.0002100924406738965
SedonaEX,0.0002100924406738965
CorvetteConvertible,0.00020809156028652606
E-ClassE320,0.00020609067989915564
Vibe4dr,0.0002040897995117852
LXLX,0.00020208891912441474
4RunnerTrail,0.00020208891912441474
EscapeLImited,0.00020208891912441474
Cobalt2dr,0.00019608627796230342
A34dr,0.00019608627796230342
RidgelineSport,0.00019408539757493297
PriusBase,0.00019208451718756252
PriusOne,0.00019208451718756252
EscapeLimited,0.00019008363680019208
XC704dr,0.00019008363680019208
GLI4dr,0.00018808275641282165
Yukon4dr,0.0001860818760254512
VeracruzAWD,0.0001820801152507103
SequoiaPlatinum,0.0001820801152507103
TahoeLS,0.0001820801152507103
RAV4Sport,0.00017807835447596944
WRXPremium,0.00017807835447596944
Canyon2WD,0.00017807835447596944
WRXLimited,0.00017807835447596944
YarisBase,0.00017807835447596944
TT2dr,0.000176077474088599
Escape4dr,0.000176077474088599
PT,0.00017407659370122854
YarisLE,0.0001720757133138581
ExplorerEddie,0.00016807395253911722
XC90T6,0.00016807395253911722
AvalonTouring,0.00016607307215174677
FiestaS,0.00016407219176437632
HighlanderSE,0.00016207131137700587
CR-ZEX,0.00016207131137700587
XK2dr,0.000158069550602265
CanyonExtended,0.00015606867021489455
25002WD,0.00015606867021489455
C702dr,0.0001540677898275241
Navigator4dr,0.0001540677898275241
F-350King,0.00015206690944015365
Galant4dr,0.00015206690944015365
S44dr,0.00015006602905278323
SLK-ClassSLK350,0.00014806514866541278
RegalGS,0.00014806514866541278
300Touring,0.00014806514866541278
Continental,0.00014606426827804234
S2000Manual,0.00014606426827804234
Yaris4dr,0.00014606426827804234
MustangDeluxe,0.00014406338789067189
AccordSE,0.00014206250750330146
ImprezaSport,0.00014006162711593102
Cayman2dr,0.00014006162711593102
Element2WD,0.00013806074672856057
MuranoS,0.00013605986634119012
RX-84dr,0.00013205810556644925
PathfinderSE,0.00013205810556644925
Monte,0.0001300572251790788
